latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.43061,134.10863,359.05,1.03,1.01,2023-09-22,0052,T,99,6.1NRT,313.27,68.31,D
-13.43201,134.11794,354.14,1.03,1.01,2023-09-22,0052,T,96,6.1NRT,313.68,54.64,D
-13.4334,134.12721,330.51,1.03,1.01,2023-09-22,0052,T,36,6.1NRT,312.69,10.3,D
-13.45277,134.13374,330.69,1.03,1.01,2023-09-22,0052,T,59,6.1NRT,313.45,11.01,D
-13.45416,134.14305,333.56,1.03,1.01,2023-09-22,0052,T,67,6.1NRT,311.51,16.21,D
-13.53172,134.48085,346.08,1.01,1.01,2023-09-22,0052,T,91,6.1NRT,312.12,38,D
-13.53307,134.49004,340.65,1.01,1.01,2023-09-22,0052,T,86,6.1NRT,312.4,27.27,D
-13.54075,134.47342,344.48,1.01,1.01,2023-09-22,0052,T,90,6.1NRT,312.04,33.2,D
-13.54212,134.4826,372.22,1.01,1.01,2023-09-22,0052,T,100,6.1NRT,315.47,106.87,D
-13.54348,134.49178,328.27,1.01,1.01,2023-09-22,0052,T,50,6.1NRT,312.96,7.75,D
-13.64855,134.39424,326.76,1.01,1.01,2023-09-22,0052,T,66,6.1NRT,312.66,8.62,D
-13.64991,134.40344,328.37,1.01,1.01,2023-09-22,0052,T,70,6.1NRT,311.38,10.78,D
-13.80427,134.51462,334.93,1.01,1,2023-09-22,0052,T,80,6.1NRT,311.22,19.74,D
-13.80562,134.52379,328.01,1.01,1,2023-09-22,0052,T,69,6.1NRT,310.61,10.28,D
-13.96223,134.76765,339.22,1,1,2023-09-22,0052,T,85,6.1NRT,312.71,24.89,D
-13.96357,134.77675,373.47,1,1,2023-09-22,0052,T,100,6.1NRT,315.31,110.06,D
-13.97379,134.78452,339.83,1,1,2023-09-22,0052,T,86,6.1NRT,314.73,24.15,D
-13.98268,134.78317,331.55,1,1,2023-09-22,0052,T,75,6.1NRT,312.48,12.59,D
-15.26739,144.70412,323.19,4.08,1.87,2023-09-22,0052,T,71,6.1NRT,302.05,98.39,D
-13.72354,132.65648,325.69,1.16,1.07,2023-09-22,0054,T,62,6.1NRT,309.06,11.54,D
-13.60695,131.7986,330.6,1.3,1.13,2023-09-22,0054,T,68,6.1NRT,310.26,18.99,D
-13.60885,131.81042,327.59,1.3,1.13,2023-09-22,0054,T,26,6.1NRT,310.74,13.22,D
-15.27242,144.69681,322.36,4.08,1.87,2023-09-22,0054,T,69,6.1NRT,302.45,96.06,D
-13.61888,131.8089,339.18,1.3,1.13,2023-09-22,0054,T,85,6.1NRT,311.24,35.21,D
-13.62079,131.82082,337,1.29,1.13,2023-09-22,0054,T,83,6.1NRT,309.95,31.33,D
-13.75044,132.64148,325.28,1.16,1.07,2023-09-22,0054,T,51,6.1NRT,310.42,10.1,D
-13.75209,132.65204,331.51,1.16,1.07,2023-09-22,0054,T,75,6.1NRT,307.6,19.6,D
-13.80436,132.61162,326.33,1.16,1.07,2023-09-22,0054,T,50,6.1NRT,308.34,12.31,D
-13.80947,132.6154,328.88,1.16,1.07,2023-09-22,0054,T,71,6.1NRT,307.29,17.43,D
-14.0116,133.43073,376.94,1.07,1.03,2023-09-22,0054,T,100,6.1NRT,308.33,141.51,D
-14.01306,133.44044,359.3,1.07,1.03,2023-09-22,0054,T,99,6.1NRT,308.84,78.51,D
-14.01929,133.41954,341.8,1.07,1.03,2023-09-22,0054,T,87,6.1NRT,305.43,37.43,D
-14.02075,133.42931,341.59,1.07,1.03,2023-09-22,0054,T,87,6.1NRT,307.15,36.28,D
-14.02222,133.43903,339.14,1.07,1.03,2023-09-22,0054,T,85,6.1NRT,307.1,31.33,D
-14.02367,133.44872,327.04,1.07,1.03,2023-09-22,0054,T,67,6.1NRT,305.66,12.43,D
-14.02745,133.42171,322.12,1.07,1.03,2023-09-22,0054,T,19,6.1NRT,306.56,5.43,D
-14.03044,133.44113,328.5,1.07,1.03,2023-09-22,0054,T,70,6.1NRT,305.97,12.8,D
-14.03193,133.45082,339.03,1.07,1.03,2023-09-22,0054,T,85,6.1NRT,306.86,28.9,D
-14.03488,133.47006,365.95,1.06,1.03,2023-09-22,0054,T,100,6.1NRT,309.41,94.79,D
-14.03635,133.47964,374.92,1.06,1.03,2023-09-22,0054,T,100,6.1NRT,314.36,128.04,D
-14.04107,133.44939,339,1.07,1.03,2023-09-22,0054,T,85,6.1NRT,310.22,28.79,D
-14.04255,133.45901,344.58,1.07,1.03,2023-09-22,0054,T,90,6.1NRT,309.84,38.93,D
-14.04402,133.46864,364.12,1.06,1.03,2023-09-22,0054,T,100,6.1NRT,311.68,89.11,D
-14.04549,133.47824,362.93,1.06,1.03,2023-09-22,0054,T,100,6.1NRT,314.33,84.97,D
-14.04696,133.48784,357.72,1.06,1.03,2023-09-22,0054,T,98,6.1NRT,313.7,70.59,D
-14.04843,133.49747,325.2,1.06,1.03,2023-09-22,0054,T,31,6.1NRT,309.41,9.03,D
-14.05609,133.48642,343.28,1.06,1.03,2023-09-22,0054,T,89,6.1NRT,311.28,35.74,D
-14.05756,133.49605,329.95,1.06,1.03,2023-09-22,0054,T,46,6.1NRT,309.33,13.89,D
-14.04598,133.35893,328.81,1.07,1.03,2023-09-22,0054,T,30,6.1NRT,310.92,12.48,D
-14.07437,133.48361,332.22,1.06,1.03,2023-09-22,0054,T,70,6.1NRT,308.96,15.91,D
-14.07584,133.49327,344.77,1.06,1.03,2023-09-22,0054,T,90,6.1NRT,309.28,38.62,D
-14.08498,133.49193,333.3,1.06,1.03,2023-09-22,0054,T,78,6.1NRT,309.22,18.63,D
-14.09848,133.51938,348.38,1.06,1.03,2023-09-22,0054,T,92,6.1NRT,311.02,45.68,D
-14.09992,133.52893,328.91,1.06,1.03,2023-09-22,0054,T,59,6.1NRT,309.74,11.76,D
-14.10904,133.52748,336.57,1.06,1.03,2023-09-22,0054,T,80,6.1NRT,311.17,21.96,D
-14.136,133.52707,333.98,1.06,1.03,2023-09-22,0054,T,72,6.1NRT,311.07,19.03,D
-14.13746,133.53662,337,1.06,1.03,2023-09-22,0054,T,82,6.1NRT,311.87,24.27,D
-14.14658,133.53523,335.46,1.06,1.03,2023-09-22,0054,T,81,6.1NRT,311.54,21.39,D
